"ISIN","Company","Country"
"ID1000115702","Bank Pembangunan Daerah Jawa Barat dan Banten Tbk PT","Indonesia"
"US64081V1098","Nerdy Inc","United States of America"
"SE0014556718","Vestum AB (publ)","Unable to resolve all requested identifiers."
"BMG4709J1071","Productive Technologies Co Ltd","Hong Kong"
"JP3888250002","Modec Inc","Japan"
"VGG270541169","Del Monte Pacific Ltd","Singapore"
"US20848V1052","Consensus Cloud Solutions Inc","United States of America"
"SGXE62145532","Capitaland Investment Ltd","Singapore"
"KR7381970003","K Car Co Ltd","Korea; Republic (S. Korea)"
"CA64440N1033","New Found Gold Corp","Canada"
"US33748L1017","First Watch Restaurant Group Inc","United States of America"
"KR7192080000","DoubleU Games Co Ltd","Korea; Republic (S. Korea)"
"NO0010894603","Volue ASA","Norway"
"TW0006533003","Andes Technology Corp","Taiwan"
"US4923271013","Keros Therapeutics Inc","United States of America"
"INE692A01016","Union Bank of India Ltd","India"
"AU0000156218","MA Financial Group Ltd","Australia"
"CH0006539198","Highlight Communications AG","Switzerland"
"INE142Z01019","Orient Electric Ltd","India"
"SA0007870039","Dur Hospitality Company SJSC","Saudi Arabia"
"KYG393871085","Globalfoundries Inc","United States of America"
"ID1000070303","Kimia Farma Tbk PT","Indonesia"
"AEA007301012","Adnoc Drilling Company PJSC","United Arab Emirates"
"RU0009034490","Rosseti Lenenergo PAO","Russia"
"BMG762791017","Roivant Sciences Ltd","United Kingdom"
"ID1000161003","Archi Indonesia Tbk PT","Indonesia"
"VN000000VND7","VNDIRECT Securities Corp","Vietnam"
"TW0004968003","RichWave Technology Corp","Taiwan"
"US37611X1000","Ginkgo Bioworks Holdings Inc","United States of America"
"JP3323600001","San-Ai Oil Co Ltd","Japan"
"US69913P1057","Paragon 28 Inc","United States of America"
"US87190U1007","TDCX Inc","Singapore"
"ID1000145907","Garudafood Putra Putri Jaya Tbk PT","Indonesia"
"NL0015000IY2","Universal Music Group NV","Netherlands"
"INE418L01021","Nazara Technologies Ltd","India"
"KYG5709L1095","LumiraDx Ltd","Cayman Islands"
"BE0974400328","Azelis Group","Belgium"
"FR0004050250","Neurones SA","France"
"ID1000154909","PT Metro Healthcare Indonesia Tbk","Indonesia"
"TW0003228003","RDC Semiconductor Co Ltd","Taiwan"
"VN000000DIG8","Development Investment Construction JSC","Vietnam"
"BMG3775G1380","GCL New Energy Holdings Ltd","Unable to resolve all requested identifiers."
"PHY2728W1090","GMA Network Inc","Philippines"
"KZ1C00000744","KazTransOil AO","Kazakhstan"
"KR7003530003","Hanwha Investment&Securities Co Ltd","Korea; Republic (S. Korea)"
"US1851231068","Clearwater Analytics Holdings Inc","United States of America"
"AU000000AVZ6","AVZ Minerals Ltd","Australia"
"US87990A1060","Tenaya Therapeutics Inc","United States of America"
"PHY9382G1068","Vista Land and Lifescapes Inc","Philippines"
"TW0002455003","Visual Photonics Epitaxy Co Ltd","Taiwan"
"ID1000129208","Siloam International Hospitals Tbk PT","Indonesia"
"US3719271047","Genesis Energy LP","United States of America"
"INE886H01027","TV18 Broadcast Ltd","India"
